Hub_Name,1. Late night[00-05],2. Early Morning [06-08],3. Morning [09-11],4. Lunch [12-14],5. Early evening[15-17],6. Evening [18-20],7. Night [21-23]
Ahm_101_Chandkheda,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_124_Sargasan,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_122_Naroda_2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_109_Nikol,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_103_Gota,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Phursungi_136_PUN,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_115_Thaltej,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_117_Motera,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_107_South Bopal,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_127_Jodhpur Char Rasta,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_113_Shela_2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_102_Vastral,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_126_Memco_Bapunagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_114_Danilimda & ShahAlam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_119_Navrangpura,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
ahm_104_Gurukul (Bhuyangdev) Solaris CP Nagar 1,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_111_Adani Shantigram_Khodiyar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_116_Makarba,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_112_Gandhinagar (Randesan),₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ahm_120_Gandhinagar (Vavol),₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kalyan West,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Greater Faridabad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Far_101_Sec-16 Faridabad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Electronics City,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Hulimavu_055,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Gottigere,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_107_E-city 2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Hosa Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
HSR,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Bommasandra,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Bommanahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
HSR_2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Jigani,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_110_Singasandra DSU (Dayananda Sagar University) Hosur Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_150_Manipal County Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_214_Jayanagar Option 5,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_174_Iggalur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
JP Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_186_APR Site 2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
APR,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
BTM layout,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kalyan Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Budigere,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Lalbagh Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Yelahanka MFC,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_140_Jayanagar 1,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
ben_Mylasandra,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kanakpura_060,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Banashankari_018,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
JP Nagar 9th Phase,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Padmanabhanagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Koramangala,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Utharahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
